well_id,fails,n_samples,failure_events
PDO-NIM-001,1,25920,1
PDO-MRM-002,0,25920,0
PDO-AML-003,0,25920,0
PDO-QRN-004,0,25920,0
PDO-SAY-005,0,25920,0
PDO-RML-006,0,25920,0
PDO-HBR-007,0,25920,0
PDO-YBL-008,0,25920,0
PDO-NIM-009,0,25920,0
PDO-MRM-010,0,25920,0
PDO-AML-011,0,25920,0
PDO-QRN-012,0,25920,0
PDO-SAY-013,0,25920,0
PDO-RML-014,0,25920,0
PDO-HBR-015,0,25920,0
PDO-YBL-016,1,25920,1
PDO-NIM-017,1,25920,1
PDO-MRM-018,0,25920,0
PDO-AML-019,0,25920,0
PDO-QRN-020,0,25920,0
PDO-SAY-021,0,25920,0
PDO-RML-022,1,25920,1
PDO-HBR-023,0,25920,0
PDO-YBL-024,0,25920,0
PDO-NIM-025,0,25920,0
PDO-MRM-026,0,25920,0
PDO-AML-027,0,25920,0
PDO-QRN-028,0,25920,0
PDO-SAY-029,0,25920,0
PDO-RML-030,0,25920,0
PDO-HBR-031,1,25920,1
PDO-YBL-032,0,25920,0
PDO-NIM-033,0,25920,0
PDO-MRM-034,1,25920,1
PDO-AML-035,0,25920,0
PDO-QRN-036,1,25920,1
PDO-SAY-037,1,25920,1
PDO-RML-038,0,25920,0
PDO-HBR-039,0,25920,0
PDO-YBL-040,0,25920,0
PDO-NIM-041,1,25920,1
PDO-MRM-042,1,25920,1
PDO-AML-043,1,25920,1
PDO-QRN-044,0,25920,0
PDO-SAY-045,1,25920,1
PDO-RML-046,0,25920,0
PDO-HBR-047,0,25920,0
PDO-YBL-048,1,25920,1
PDO-NIM-049,1,25920,1
PDO-MRM-050,1,25920,1
